test_type,year,week_code,week_date,region,detections,tests,outlier
Antigen,1011,1118,2011-05-07,1,14,312,0
Antigen,1011,1119,2011-05-14,1,6,284,0
Antigen,1011,1120,2011-05-21,1,8,307,0
Antigen,1011,1121,2011-05-28,1,6,291,0
Antigen,1011,1122,2011-06-04,1,3,260,0
Antigen,1011,1123,2011-06-11,1,0,245,0
Antigen,1011,1124,2011-06-18,1,1,224,0
Antigen,1011,1125,2011-06-25,1,3,225,0
Antigen,1011,1126,2011-07-02,1,2,179,0
Antigen,1011,1027,2010-07-10,1,6,96,0
Antigen,1011,1028,2010-07-17,1,2,79,0
Antigen,1011,1029,2010-07-24,1,4,93,0
Antigen,1011,1030,2010-07-31,1,0,87,0
Antigen,1011,1031,2010-08-07,1,3,72,0
Antigen,1011,1032,2010-08-14,1,2,102,0
Antigen,1011,1033,2010-08-21,1,3,79,0
Antigen,1011,1034,2010-08-28,1,1,123,0
Antigen,1011,1035,2010-09-04,1,4,121,0
Antigen,1011,1036,2010-09-11,1,5,141,0
Antigen,1011,1037,2010-09-18,1,2,162,0
Antigen,1011,1038,2010-09-25,1,11,266,0
Antigen,1011,1039,2010-10-02,1,9,232,0
Antigen,1011,1040,2010-10-09,1,7,240,0
Antigen,1011,1041,2010-10-16,1,15,307,0
Antigen,1011,1042,2010-10-23,1,21,285,0
Antigen,1011,1043,2010-10-30,1,19,342,0
Antigen,1011,1044,2010-11-06,1,20,381,0
Antigen,1011,1045,2010-11-13,1,31,324,0
Antigen,1011,1046,2010-11-20,1,37,396,0
Antigen,1011,1047,2010-11-27,1,48,370,0
Antigen,1011,1048,2010-12-04,1,76,419,0
Antigen,1011,1049,2010-12-11,1,81,475,0
Antigen,1011,1050,2010-12-18,1,94,544,0
Antigen,1011,1051,2010-12-25,1,123,554,0
Antigen,1011,1052,2011-01-01,1,233,768,0
Antigen,1011,1101,2011-01-08,1,236,860,0
Antigen,1011,1102,2011-01-15,1,202,776,0
Antigen,1011,1103,2011-01-22,1,280,945,0
Antigen,1011,1104,2011-01-29,1,289,981,0
Antigen,1011,1105,2011-02-05,1,343,1066,0
Antigen,1011,1106,2011-02-12,1,345,1168,0
Antigen,1011,1107,2011-02-19,1,313,1173,0
Antigen,1011,1108,2011-02-26,1,285,1096,0
Antigen,1011,1109,2011-03-05,1,251,1014,0
Antigen,1011,1110,2011-03-12,1,205,1027,0
Antigen,1011,1111,2011-03-19,1,144,909,0
Antigen,1011,1112,2011-03-26,1,110,863,0
Antigen,1011,1113,2011-04-02,1,100,719,0
Antigen,1011,1114,2011-04-09,1,84,562,0
Antigen,1011,1115,2011-04-16,1,50,474,0
Antigen,1011,1116,2011-04-23,1,34,424,0
Antigen,1011,1117,2011-04-30,1,23,377,0
Antigen,1011,1118,2011-05-07,1,17,322,0
Antigen,1011,1119,2011-05-14,1,5,188,0
Antigen,1011,1120,2011-05-21,1,15,220,0
Antigen,1011,1121,2011-05-28,1,3,183,0
Antigen,1011,1122,2011-06-04,1,1,154,0
Antigen,1011,1123,2011-06-11,1,3,147,0
Antigen,1011,1124,2011-06-18,1,1,107,0
Antigen,1011,1125,2011-06-25,1,0,122,0
Antigen,1011,1126,2011-07-02,1,0,94,0
Antigen,1011,1027,2010-07-10,1,0,106,0
Antigen,1011,1028,2010-07-17,1,1,120,0
Antigen,1011,1029,2010-07-24,1,2,124,0
Antigen,1011,1030,2010-07-31,1,1,110,0
Antigen,1011,1031,2010-08-07,1,1,115,0
Antigen,1011,1032,2010-08-14,1,0,141,0
Antigen,1011,1033,2010-08-21,1,0,155,0
Antigen,1011,1034,2010-08-28,1,0,163,0
Antigen,1011,1035,2010-09-04,1,1,210,0
Antigen,1011,1036,2010-09-11,1,0,234,0
Antigen,1011,1037,2010-09-18,1,5,297,0
Antigen,1011,1038,2010-09-25,1,3,354,0
Antigen,1011,1039,2010-10-02,1,2,310,0
Antigen,1011,1040,2010-10-09,1,5,327,0
Antigen,1011,1041,2010-10-16,1,2,346,0
Antigen,1011,1042,2010-10-23,1,6,355,0
Antigen,1011,1043,2010-10-30,1,6,406,0
Antigen,1011,1044,2010-11-06,1,4,388,0
Antigen,1011,1045,2010-11-13,1,10,455,0
Antigen,1011,1046,2010-11-20,1,13,485,0
Antigen,1011,1047,2010-11-27,1,16,425,0
Antigen,1011,1048,2010-12-04,1,29,516,0
Antigen,1011,1049,2010-12-11,1,33,556,0
Antigen,1011,1050,2010-12-18,1,64,524,0
Antigen,1011,1051,2010-12-25,1,82,569,0
Antigen,1011,1052,2011-01-01,1,154,773,0
Antigen,1011,1101,2011-01-08,1,157,833,0
Antigen,1011,1102,2011-01-15,1,206,923,0
Antigen,1011,1103,2011-01-22,1,322,1174,0
Antigen,1011,1104,2011-01-29,1,397,1372,0
Antigen,1011,1105,2011-02-05,1,441,1416,0
Antigen,1011,1106,2011-02-12,1,506,1596,0
Antigen,1011,1107,2011-02-19,1,566,1718,0
Antigen,1011,1108,2011-02-26,1,584,1754,0
Antigen,1011,1109,2011-03-05,1,565,1614,0
Antigen,1011,1110,2011-03-12,1,486,1600,0
Antigen,1011,1111,2011-03-19,1,437,1483,0
Antigen,1011,1112,2011-03-26,1,340,1320,0
Antigen,1011,1113,2011-04-02,1,259,1120,0
Antigen,1011,1114,2011-04-09,1,179,922,0
Antigen,1011,1115,2011-04-16,1,133,834,0
Antigen,1011,1116,2011-04-23,1,79,611,0
Antigen,1011,1117,2011-04-30,1,53,548,0
Antigen,1011,1118,2011-05-07,1,46,477,0
Antigen,1011,1119,2011-05-14,1,23,395,0
Antigen,1011,1120,2011-05-21,1,12,351,0
Antigen,1011,1121,2011-05-28,1,10,279,0
Antigen,1011,1122,2011-06-04,1,6,226,0
Antigen,1011,1123,2011-06-11,1,3,226,0
Antigen,1011,1124,2011-06-18,1,6,185,0
Antigen,1011,1125,2011-06-25,1,5,170,0
Antigen,1011,1126,2011-07-02,1,3,153,0
Antigen,1011,1027,2010-07-10,1,0,141,0
Antigen,1011,1028,2010-07-17,1,0,120,0
Antigen,1011,1029,2010-07-24,1,0,141,0
Antigen,1011,1030,2010-07-31,1,0,139,0
Antigen,1011,1031,2010-08-07,1,0,117,0
Antigen,1011,1032,2010-08-14,1,1,151,0
Antigen,1011,1033,2010-08-21,1,1,129,0
Antigen,1011,1034,2010-08-28,1,1,170,0
Antigen,1011,1035,2010-09-04,1,0,185,0
Antigen,1011,1036,2010-09-11,1,0,211,0
Antigen,1011,1037,2010-09-18,1,0,253,0
Antigen,1011,1038,2010-09-25,1,0,258,0
Antigen,1011,1039,2010-10-02,1,0,230,0
Antigen,1011,1040,2010-10-09,1,2,262,0
Antigen,1011,1041,2010-10-16,1,1,268,0
Antigen,1011,1042,2010-10-23,1,3,309,0
Antigen,1011,1043,2010-10-30,1,5,315,0
Antigen,1011,1044,2010-11-06,1,7,305,0
Antigen,1011,1045,2010-11-13,1,7,335,0
Antigen,1011,1046,2010-11-20,1,5,312,0
Antigen,1011,1047,2010-11-27,1,6,314,0
Antigen,1011,1048,2010-12-04,1,12,341,0
Antigen,1011,1049,2010-12-11,1,24,384,0
Antigen,1011,1050,2010-12-18,1,40,414,0
Antigen,1011,1051,2010-12-25,1,39,391,0
Antigen,1011,1052,2011-01-01,1,79,624,0
Antigen,1011,1101,2011-01-08,1,95,572,0
Antigen,1011,1102,2011-01-15,1,66,582,0
Antigen,1011,1103,2011-01-22,1,107,566,0
Antigen,1011,1104,2011-01-29,1,180,798,0
Antigen,1011,1105,2011-02-05,1,187,728,0
Antigen,1011,1106,2011-02-12,1,216,847,0
Antigen,1011,1107,2011-02-19,1,244,834,0
Antigen,1011,1108,2011-02-26,1,245,839,0
Antigen,1011,1109,2011-03-05,1,259,912,0
Antigen,1011,1110,2011-03-12,1,230,868,0
Antigen,1011,1111,2011-03-19,1,184,828,0
Antigen,1011,1112,2011-03-26,1,153,738,0
Antigen,1011,1113,2011-04-02,1,69,537,0
Antigen,1011,1114,2011-04-09,1,57,488,0
Antigen,1011,1115,2011-04-16,1,36,418,0
Antigen,1011,1116,2011-04-23,1,33,367,0
Antigen,1011,1117,2011-04-30,1,20,339,0
Antigen,1011,1118,2011-05-07,1,13,334,0
Antigen,1011,1119,2011-05-14,1,8,268,0
Antigen,1011,1120,2011-05-21,1,5,227,0
Antigen,1011,1121,2011-05-28,1,3,262,0
Antigen,1011,1122,2011-06-04,1,4,198,0
Antigen,1011,1123,2011-06-11,1,1,195,0
Antigen,1011,1124,2011-06-18,1,0,154,0
Antigen,1011,1125,2011-06-25,1,0,138,0
Antigen,1011,1126,2011-07-02,1,0,148,0
Antigen,1011,1027,2010-07-10,1,10,255,0
Antigen,1011,1028,2010-07-17,1,7,282,0
Antigen,1011,1029,2010-07-24,1,21,273,0
Antigen,1011,1030,2010-07-31,1,14,238,0
Antigen,1011,1031,2010-08-07,1,8,271,0
Antigen,1011,1032,2010-08-14,1,23,310,0
Antigen,1011,1033,2010-08-21,1,10,339,0
Antigen,1011,1034,2010-08-28,1,14,320,0
Antigen,1011,1035,2010-09-04,1,16,313,0
Antigen,1011,1036,2010-09-11,1,20,403,0
Antigen,1011,1037,2010-09-18,1,15,398,0
Antigen,1011,1038,2010-09-25,1,15,447,0
Antigen,1011,1039,2010-10-02,1,5,427,0
Antigen,1011,1040,2010-10-09,1,34,437,0
Antigen,1011,1041,2010-10-16,1,27,506,0
Antigen,1011,1042,2010-10-23,1,44,521,0
Antigen,1011,1043,2010-10-30,1,28,516,0
Antigen,1011,1044,2010-11-06,1,35,600,0
Antigen,1011,1045,2010-11-13,1,53,656,0
Antigen,1011,1046,2010-11-20,1,77,776,0
Antigen,1011,1047,2010-11-27,1,94,738,0
Antigen,1011,1048,2010-12-04,1,125,821,0
Antigen,1011,1049,2010-12-11,1,188,959,0
Antigen,1011,1050,2010-12-18,1,256,1129,0
Antigen,1011,1051,2010-12-25,1,328,1064,0
Antigen,1011,1052,2011-01-01,1,488,1429,0
Antigen,1011,1101,2011-01-08,1,481,1348,0
Antigen,1011,1102,2011-01-15,1,472,1471,0
Antigen,1011,1103,2011-01-22,1,530,1599,0
Antigen,1011,1104,2011-01-29,1,577,1789,0
Antigen,1011,1105,2011-02-05,1,486,1534,0
Antigen,1011,1106,2011-02-12,1,506,1733,0
Antigen,1011,1107,2011-02-19,1,436,1581,0
Antigen,1011,1108,2011-02-26,1,369,1496,0
Antigen,1011,1109,2011-03-05,1,317,1415,0
Antigen,1011,1110,2011-03-12,1,242,1346,0
Antigen,1011,1111,2011-03-19,1,177,1219,0
Antigen,1011,1112,2011-03-26,1,122,1045,0
Antigen,1011,1113,2011-04-02,1,113,946,0
Antigen,1011,1114,2011-04-09,1,53,816,0
Antigen,1011,1115,2011-04-16,1,51,805,0
Antigen,1011,1116,2011-04-23,1,39,723,0
Antigen,1011,1117,2011-04-30,1,40,687,0
Antigen,1011,1118,2011-05-07,1,20,562,0
Antigen,1011,1119,2011-05-14,1,18,531,0
Antigen,1011,1120,2011-05-21,1,11,463,0
Antigen,1011,1121,2011-05-28,1,4,442,0
Antigen,1011,1122,2011-06-04,1,2,431,0
Antigen,1011,1123,2011-06-11,1,8,390,0
Antigen,1011,1124,2011-06-18,1,7,353,0
Antigen,1011,1125,2011-06-25,1,6,323,0
Antigen,1011,1126,2011-07-02,1,7,281,0
Antigen,1112,1127,2011-07-09,1,1,183,0
Antigen,1112,1128,2011-07-16,1,2,157,0
Antigen,1112,1129,2011-07-23,1,0,151,0
Antigen,1112,1130,2011-07-30,1,2,140,0
Antigen,1112,1131,2011-08-06,1,1,147,0
Antigen,1112,1132,2011-08-13,1,1,142,0
Antigen,1112,1133,2011-08-20,1,1,141,0
Antigen,1112,1134,2011-08-27,1,1,163,0
Antigen,1112,1135,2011-09-03,1,0,155,0
Antigen,1112,1136,2011-09-10,1,0,170,0
Antigen,1112,1137,2011-09-17,1,4,215,0
Antigen,1112,1138,2011-09-24,1,1,238,0
Antigen,1112,1139,2011-10-01,1,8,279,0
Antigen,1112,1140,2011-10-08,1,4,267,0
Antigen,1112,1141,2011-10-15,1,8,316,0
Antigen,1112,1142,2011-10-22,1,8,322,0
Antigen,1112,1143,2011-10-29,1,6,329,0
Antigen,1112,1144,2011-11-05,1,8,327,0
Antigen,1112,1145,2011-11-12,1,19,409,0
Antigen,1112,1146,2011-11-19,1,20,355,0
Antigen,1112,1147,2011-11-26,1,23,345,0
Antigen,1112,1148,2011-12-03,1,39,386,0
Antigen,1112,1149,2011-12-10,1,61,446,0
Antigen,1112,1150,2011-12-17,1,82,496,0
Antigen,1112,1151,2011-12-24,1,110,526,0
Antigen,1112,1152,2011-12-31,1,120,560,0
Antigen,1112,1201,2012-01-07,1,139,571,0
Antigen,1112,1202,2012-01-14,1,89,549,0
Antigen,1112,1203,2012-01-21,1,100,549,0
Antigen,1112,1204,2012-01-28,1,98,528,0
Antigen,1112,1205,2012-02-04,1,89,438,0
Antigen,1112,1206,2012-02-11,1,83,474,0
Antigen,1112,1207,2012-02-18,1,60,473,0
Antigen,1112,1208,2012-02-25,1,46,462,0
Antigen,1112,1209,2012-03-03,1,59,456,0
Antigen,1112,1210,2012-03-10,1,50,429,0
Antigen,1112,1211,2012-03-17,1,27,431,0
Antigen,1112,1212,2012-03-24,1,25,468,0
Antigen,1112,1213,2012-03-31,1,17,415,0
Antigen,1112,1214,2012-04-07,1,4,362,0
Antigen,1112,1215,2012-04-14,1,4,380,0
Antigen,1112,1216,2012-04-21,1,6,379,0
Antigen,1112,1217,2012-04-28,1,1,338,0
Antigen,1112,1218,2012-05-05,1,3,312,0
Antigen,1112,1219,2012-05-12,1,3,292,0
Antigen,1112,1220,2012-05-19,1,0,322,0
Antigen,1112,1221,2012-05-26,1,2,298,0
Antigen,1112,1222,2012-06-02,1,1,255,0
Antigen,1112,1223,2012-06-09,1,1,222,0
Antigen,1112,1224,2012-06-16,1,0,252,0
Antigen,1112,1225,2012-06-23,1,0,225,0
Antigen,1112,1226,2012-06-30,1,0,227,0
Antigen,1112,1127,2011-07-09,1,1,84,0
Antigen,1112,1128,2011-07-16,1,0,65,0
Antigen,1112,1129,2011-07-23,1,2,67,0
Antigen,1112,1130,2011-07-30,1,4,59,0
Antigen,1112,1131,2011-08-06,1,2,76,0
Antigen,1112,1132,2011-08-13,1,1,102,0
Antigen,1112,1133,2011-08-20,1,1,85,0
Antigen,1112,1134,2011-08-27,1,2,83,0
Antigen,1112,1135,2011-09-03,1,7,116,0
Antigen,1112,1136,2011-09-10,1,5,148,0
Antigen,1112,1137,2011-09-17,1,9,174,0
Antigen,1112,1138,2011-09-24,1,16,264,0
Antigen,1112,1139,2011-10-01,1,18,311,0
Antigen,1112,1140,2011-10-08,1,16,363,0
Antigen,1112,1141,2011-10-15,1,26,345,0
Antigen,1112,1142,2011-10-22,1,51,428,0
Antigen,1112,1143,2011-10-29,1,44,459,0
Antigen,1112,1144,2011-11-05,1,76,539,0
Antigen,1112,1145,2011-11-12,1,88,637,0
Antigen,1112,1146,2011-11-19,1,140,724,0
Antigen,1112,1147,2011-11-26,1,163,649,0
Antigen,1112,1148,2011-12-03,1,199,778,0
Antigen,1112,1149,2011-12-10,1,206,788,0
Antigen,1112,1150,2011-12-17,1,289,986,0
Antigen,1112,1151,2011-12-24,1,319,977,0
Antigen,1112,1152,2011-12-31,1,404,1186,0
Antigen,1112,1201,2012-01-07,1,395,1159,0
Antigen,1112,1202,2012-01-14,1,301,936,0
Antigen,1112,1203,2012-01-21,1,245,967,0
Antigen,1112,1204,2012-01-28,1,238,924,0
Antigen,1112,1205,2012-02-04,1,201,861,0
Antigen,1112,1206,2012-02-11,1,184,784,0
Antigen,1112,1207,2012-02-18,1,194,915,0
Antigen,1112,1208,2012-02-25,1,188,853,0
Antigen,1112,1209,2012-03-03,1,177,889,0
Antigen,1112,1210,2012-03-10,1,130,834,0
Antigen,1112,1211,2012-03-17,1,87,796,0
Antigen,1112,1212,2012-03-24,1,84,697,0
Antigen,1112,1213,2012-03-31,1,57,702,0
Antigen,1112,1214,2012-04-07,1,36,639,0
Antigen,1112,1215,2012-04-14,1,40,551,0
Antigen,1112,1216,2012-04-21,1,64,576,0
Antigen,1112,1217,2012-04-28,1,15,427,0
Antigen,1112,1218,2012-05-05,1,14,451,0
Antigen,1112,1219,2012-05-12,1,16,384,0
Antigen,1112,1220,2012-05-19,1,9,346,0
Antigen,1112,1221,2012-05-26,1,13,296,0
Antigen,1112,1222,2012-06-02,1,11,232,0
Antigen,1112,1223,2012-06-09,1,7,190,0
Antigen,1112,1224,2012-06-16,1,5,190,0
Antigen,1112,1225,2012-06-23,1,6,173,0
Antigen,1112,1226,2012-06-30,1,1,129,0
Antigen,1112,1127,2011-07-09,1,3,123,0
Antigen,1112,1128,2011-07-16,1,0,133,0
Antigen,1112,1129,2011-07-23,1,1,98,0
Antigen,1112,1130,2011-07-30,1,1,99,0
Antigen,1112,1131,2011-08-06,1,1,99,0
Antigen,1112,1132,2011-08-13,1,1,127,0
Antigen,1112,1133,2011-08-20,1,2,145,0
Antigen,1112,1134,2011-08-27,1,0,120,0
Antigen,1112,1135,2011-09-03,1,3,123,0
Antigen,1112,1136,2011-09-10,1,2,166,0
Antigen,1112,1137,2011-09-17,1,1,203,0
Antigen,1112,1138,2011-09-24,1,2,322,0
Antigen,1112,1139,2011-10-01,1,8,307,0
Antigen,1112,1140,2011-10-08,1,7,370,0
Antigen,1112,1141,2011-10-15,1,11,367,0
Antigen,1112,1142,2011-10-22,1,7,398,0
Antigen,1112,1143,2011-10-29,1,5,411,0
Antigen,1112,1144,2011-11-05,1,7,447,0
Antigen,1112,1145,2011-11-12,1,9,467,0
Antigen,1112,1146,2011-11-19,1,19,473,0
Antigen,1112,1147,2011-11-26,1,33,462,0
Antigen,1112,1148,2011-12-03,1,28,527,0
Antigen,1112,1149,2011-12-10,1,50,479,0
Antigen,1112,1150,2011-12-17,1,97,584,0
Antigen,1112,1151,2011-12-24,1,108,569,0
Antigen,1112,1152,2011-12-31,1,171,704,0
Antigen,1112,1201,2012-01-07,1,189,774,0
Antigen,1112,1202,2012-01-14,1,185,735,0
Antigen,1112,1203,2012-01-21,1,214,750,0
Antigen,1112,1204,2012-01-28,1,218,748,0
Antigen,1112,1205,2012-02-04,1,256,833,0
Antigen,1112,1206,2012-02-11,1,256,913,0
Antigen,1112,1207,2012-02-18,1,344,1098,0
Antigen,1112,1208,2012-02-25,1,358,1185,0
Antigen,1112,1209,2012-03-03,1,408,1191,0
Antigen,1112,1210,2012-03-10,1,340,1139,0
Antigen,1112,1211,2012-03-17,1,389,1070,0
Antigen,1112,1212,2012-03-24,1,227,928,0
Antigen,1112,1213,2012-03-31,1,165,727,0
Antigen,1112,1214,2012-04-07,1,133,630,0
Antigen,1112,1215,2012-04-14,1,79,563,0
Antigen,1112,1216,2012-04-21,1,90,485,0
Antigen,1112,1217,2012-04-28,1,49,368,0
Antigen,1112,1218,2012-05-05,1,24,331,0
Antigen,1112,1219,2012-05-12,1,26,279,0
Antigen,1112,1220,2012-05-19,1,18,269,0
Antigen,1112,1221,2012-05-26,1,15,212,0
Antigen,1112,1222,2012-06-02,1,9,188,0
Antigen,1112,1223,2012-06-09,1,6,153,0
Antigen,1112,1224,2012-06-16,1,4,150,0
Antigen,1112,1225,2012-06-23,1,1,133,0
Antigen,1112,1226,2012-06-30,1,2,98,0
Antigen,1112,1127,2011-07-09,1,0,126,0
Antigen,1112,1128,2011-07-16,1,0,168,0
Antigen,1112,1129,2011-07-23,1,0,148,0
Antigen,1112,1130,2011-07-30,1,1,124,0
Antigen,1112,1131,2011-08-06,1,0,140,0
Antigen,1112,1132,2011-08-13,1,0,139,0
Antigen,1112,1133,2011-08-20,1,1,142,0
Antigen,1112,1134,2011-08-27,1,0,182,0
Antigen,1112,1135,2011-09-03,1,0,224,0
Antigen,1112,1136,2011-09-10,1,0,197,0
Antigen,1112,1137,2011-09-17,1,1,236,0
Antigen,1112,1138,2011-09-24,1,1,258,0
Antigen,1112,1139,2011-10-01,1,4,282,0
Antigen,1112,1140,2011-10-08,1,2,301,0
Antigen,1112,1141,2011-10-15,1,2,304,0
Antigen,1112,1142,2011-10-22,1,1,321,0
Antigen,1112,1143,2011-10-29,1,2,327,0
Antigen,1112,1144,2011-11-05,1,4,375,0
Antigen,1112,1145,2011-11-12,1,3,352,0
Antigen,1112,1146,2011-11-19,1,1,364,0
Antigen,1112,1147,2011-11-26,1,2,316,0
Antigen,1112,1148,2011-12-03,1,10,374,0
Antigen,1112,1149,2011-12-10,1,9,361,0
Antigen,1112,1150,2011-12-17,1,18,464,0
Antigen,1112,1151,2011-12-24,1,28,458,0
Antigen,1112,1152,2011-12-31,1,34,500,0
Antigen,1112,1201,2012-01-07,1,41,525,0
Antigen,1112,1202,2012-01-14,1,47,479,0
Antigen,1112,1203,2012-01-21,1,53,469,0
Antigen,1112,1204,2012-01-28,1,80,524,0
Antigen,1112,1205,2012-02-04,1,62,559,0
Antigen,1112,1206,2012-02-11,1,110,678,0
Antigen,1112,1207,2012-02-18,1,123,683,0
Antigen,1112,1208,2012-02-25,1,102,733,0
Antigen,1112,1209,2012-03-03,1,143,773,0
Antigen,1112,1210,2012-03-10,1,145,738,0
Antigen,1112,1211,2012-03-17,1,151,760,0
Antigen,1112,1212,2012-03-24,1,105,619,0
Antigen,1112,1213,2012-03-31,1,98,534,0
Antigen,1112,1214,2012-04-07,1,78,518,0
Antigen,1112,1215,2012-04-14,1,63,457,0
Antigen,1112,1216,2012-04-21,1,27,350,0
Antigen,1112,1217,2012-04-28,1,24,371,0
Antigen,1112,1218,2012-05-05,1,16,314,0
Antigen,1112,1219,2012-05-12,1,27,247,0
Antigen,1112,1220,2012-05-19,1,10,242,0
Antigen,1112,1221,2012-05-26,1,8,218,0
Antigen,1112,1222,2012-06-02,1,12,209,0
Antigen,1112,1223,2012-06-09,1,4,219,0
Antigen,1112,1224,2012-06-16,1,6,208,0
Antigen,1112,1225,2012-06-23,1,3,159,0
Antigen,1112,1226,2012-06-30,1,1,148,0
Antigen,1112,1127,2011-07-09,1,1,253,0
Antigen,1112,1128,2011-07-16,1,4,245,0
Antigen,1112,1129,2011-07-23,1,4,274,0
Antigen,1112,1130,2011-07-30,1,3,202,0
Antigen,1112,1131,2011-08-06,1,4,188,0
Antigen,1112,1132,2011-08-13,1,4,191,0
Antigen,1112,1133,2011-08-20,1,10,208,0
Antigen,1112,1134,2011-08-27,1,7,262,0
Antigen,1112,1135,2011-09-03,1,11,282,0
Antigen,1112,1136,2011-09-10,1,14,271,0
Antigen,1112,1137,2011-09-17,1,7,310,0
Antigen,1112,1138,2011-09-24,1,9,313,0
Antigen,1112,1139,2011-10-01,1,19,380,0
Antigen,1112,1140,2011-10-08,1,19,360,0
Antigen,1112,1141,2011-10-15,1,24,443,0
Antigen,1112,1142,2011-10-22,1,34,360,0
Antigen,1112,1143,2011-10-29,1,29,436,0
Antigen,1112,1144,2011-11-05,1,49,542,0
Antigen,1112,1145,2011-11-12,1,43,503,0
Antigen,1112,1146,2011-11-19,1,26,507,0
Antigen,1112,1147,2011-11-26,1,64,577,0
Antigen,1112,1148,2011-12-03,1,59,650,0
Antigen,1112,1149,2011-12-10,1,55,602,0
Antigen,1112,1150,2011-12-17,1,70,665,0
Antigen,1112,1151,2011-12-24,1,74,718,0
Antigen,1112,1152,2011-12-31,1,114,725,0
Antigen,1112,1201,2012-01-07,1,117,727,0
Antigen,1112,1202,2012-01-14,1,110,798,0
Antigen,1112,1203,2012-01-21,1,152,750,0
Antigen,1112,1204,2012-01-28,1,212,905,0
Antigen,1112,1205,2012-02-04,1,251,967,0
Antigen,1112,1206,2012-02-11,1,254,1063,0
Antigen,1112,1207,2012-02-18,1,257,1026,0
Antigen,1112,1208,2012-02-25,1,300,1099,0
Antigen,1112,1209,2012-03-03,1,227,965,0
Antigen,1112,1210,2012-03-10,1,250,996,0
Antigen,1112,1211,2012-03-17,1,199,936,0
Antigen,1112,1212,2012-03-24,1,190,941,0
Antigen,1112,1213,2012-03-31,1,121,788,0
Antigen,1112,1214,2012-04-07,1,123,763,0
Antigen,1112,1215,2012-04-14,1,86,670,0
Antigen,1112,1216,2012-04-21,1,86,648,0
Antigen,1112,1217,2012-04-28,1,75,582,0
Antigen,1112,1218,2012-05-05,1,50,513,0
Antigen,1112,1219,2012-05-12,1,41,452,0
Antigen,1112,1220,2012-05-19,1,33,423,0
Antigen,1112,1221,2012-05-26,1,29,436,0
Antigen,1112,1222,2012-06-02,1,20,399,0
Antigen,1112,1223,2012-06-09,1,26,377,0
Antigen,1112,1224,2012-06-16,1,12,362,0
Antigen,1112,1225,2012-06-23,1,16,301,0
Antigen,1112,1226,2012-06-30,1,14,284,0
Antigen,1213,1227,2012-07-07,1,1,187,0
Antigen,1213,1228,2012-07-14,1,0,171,0
Antigen,1213,1229,2012-07-21,1,0,187,0
Antigen,1213,1230,2012-07-28,1,1,184,0
Antigen,1213,1231,2012-08-04,1,1,205,0
Antigen,1213,1232,2012-08-11,1,2,195,0
Antigen,1213,1233,2012-08-18,1,4,198,0
Antigen,1213,1234,2012-08-25,1,2,190,0
Antigen,1213,1235,2012-09-01,1,1,212,0
Antigen,1213,1236,2012-09-08,1,4,210,0
Antigen,1213,1237,2012-09-15,1,4,235,0
Antigen,1213,1238,2012-09-22,1,4,317,0
Antigen,1213,1239,2012-09-29,1,5,308,0
Antigen,1213,1240,2012-10-06,1,6,336,0
